timestamp;ui32ArduinoTimestamp;f32Value
23559853;1163590380;-1.0000
23579806;1163595140;400.0000
23624880;1163657568;-1.0000
23649903;1163662320;400.0000
23694945;1163724736;-1.0000
23715013;1163729500;400.0000
23760068;1163791948;-1.0000
23774828;1163796864;400.0000
23834903;1163859144;-1.0000
23854855;1163863936;400.0000
23899890;1163926336;-1.0000
23914929;1163931104;400.0000
23969902;1163993536;-1.0000
23989890;1163998412;400.0000
24034815;1164060712;-1.0000
24054803;1164065464;400.0000
24099832;1164127924;-1.0000
24124896;1164132640;400.0000
24169818;1164195132;-1.0000
24189993;1164199920;400.0000
24234803;1164262344;-1.0000
24254783;1164267172;400.0000
24305038;1164329564;-1.0000
24324896;1164334300;400.0000
24369908;1164396736;-1.0000
24389991;1164401444;400.0000
24436894;1164463928;-1.0000
24459872;1164468620;400.0000
24504951;1164531136;-1.0000
24524839;1164535932;400.0000
24574919;1164598336;-1.0000
24595013;1164603204;400.0000
24639887;1164665516;-1.0000
24659735;1164670252;400.0000
24704879;1164732688;-1.0000
24729762;1164737420;400.0000
24774930;1164799884;-1.0000
24795038;1164804712;400.0000
24839859;1164867096;-1.0000
24859826;1164871824;400.0000
24909928;1164934292;-1.0000
24929873;1164939004;400.0000
24974808;1165001508;-1.0000
24994907;1165006200;400.0000
25039959;1165068688;-1.0000
25059867;1165073448;400.0000
25109875;1165135864;-1.0000
25129746;1165140668;400.0000
25174879;1165203068;-1.0000
25195031;1165207820;400.0000
25239906;1165270248;-1.0000
25264959;1165274956;400.0000
25309858;1165337460;-1.0000
25329867;1165342220;400.0000
25374816;1165404640;-1.0000
25394814;1165409376;400.0000
25444838;1165471836;-1.0000
25464848;1165476616;400.0000
25499903;1165517732;201.0000
25544775;1165572564;-1.0000
25564745;1165577344;400.0000
25614973;1165639748;-1.0000
25634883;1165644508;400.0000
25664893;1165685624;201.0000
25709884;1165740476;-1.0000
25734994;1165745236;400.0000
25779820;1165807656;-1.0000
25799877;1165812340;400.0000
25844876;1165874848;-1.0000
25864841;1165879560;400.0000
25914955;1165942056;-1.0000
25934911;1165946800;400.0000
25979734;1166009248;-1.0000
25999834;1166014008;400.0000
26044818;1166076444;-1.0000
26069962;1166081160;400.0000
26115078;1166143620;-1.0000
26134894;1166148328;400.0000
26179858;1166210812;-1.0000
26199835;1166215572;400.0000
26249851;1166278020;-1.0000
26269922;1166282940;400.0000
26314984;1166345192;-1.0000
26334877;1166350000;400.0000
26379879;1166412396;-1.0000
26404836;1166417156;400.0000
26454806;1166479568;-1.0000
26474937;1166484344;400.0000
26515013;1166546740;-1.0000
26534903;1166551432;400.0000
26589961;1166613948;-1.0000
26609752;1166618676;400.0000
26654904;1166681132;-1.0000
26675383;1166686068;400.0000
26719925;1166748348;-1.0000
26744798;1166753016;400.0000
26789823;1166815524;-1.0000
26809740;1166820208;400.0000
26839782;1166861556;204.0000
26889821;1166916244;-1.0000
26909911;1166921252;400.0000
26944869;1166962208;202.0000
26989956;1167016968;-1.0000
27010013;1167021672;400.0000
27059795;1167084164;-1.0000
27079747;1167088912;400.0000
27124724;1167151360;-1.0000
27144810;1167156072;400.0000
27189751;1167218532;-1.0000
27209858;1167223312;400.0000
27259769;1167285728;-1.0000
27279742;1167290420;400.0000
27324798;1167352936;-1.0000
27344963;1167357656;400.0000
27389886;1167420124;-1.0000
27414913;1167424808;400.0000
27459867;1167487324;-1.0000
27479781;1167492108;400.0000
27524747;1167554500;-1.0000
27544844;1167559284;400.0000
27594866;1167621676;-1.0000
27614859;1167626388;400.0000
27659787;1167688860;-1.0000
27679696;1167693612;400.0000
27724727;1167756060;-1.0000
27749949;1167760788;400.0000
27794947;1167823260;-1.0000
27814834;1167828040;400.0000
27859812;1167890456;-1.0000
27879764;1167895212;400.0000
27929744;1167957648;-1.0000
27949917;1167962592;400.0000
27999901;1168024844;-1.0000
28019905;1168029620;400.0000
28064802;1168092044;-1.0000
28084770;1168096796;400.0000
28134809;1168159248;-1.0000
28154913;1168164076;400.0000
28199801;1168226444;-1.0000
28219937;1168231176;400.0000
28269928;1168293612;-1.0000
28289971;1168298372;400.0000
28334767;1168360808;-1.0000
28354982;1168365544;400.0000
28399705;1168427988;-1.0000
28424792;1168432716;400.0000
28469906;1168495188;-1.0000
28489925;1168499948;400.0000
28534880;1168562384;-1.0000
28554953;1168567092;400.0000
28604843;1168629560;-1.0000
28624905;1168634300;400.0000
28669970;1168696736;-1.0000
28689855;1168701496;400.0000
28734864;1168763944;-1.0000
28754841;1168768732;400.0000
28794949;1168809896;202.0000
28839854;1168864656;-1.0000
28859869;1168869344;400.0000
28905035;1168931856;-1.0000
28924848;1168936544;400.0000
28969803;1168999056;-1.0000
28989968;1169003784;400.0000
29039746;1169066256;-1.0000
29059844;1169071076;400.0000
29110012;1169133448;-1.0000
29129875;1169138208;400.0000
29174810;1169200624;-1.0000
29194738;1169205408;400.0000
29239726;1169267820;-1.0000
29264947;1169272596;400.0000
29310026;1169335024;-1.0000
29329876;1169339772;400.0000
29359810;1169380964;202.0000
29404768;1169435740;-1.0000
29429773;1169440676;400.0000
29464963;1169481724;202.0000
29509877;1169536460;-1.0000
29529896;1169541196;400.0000
